home_elo,away_elo,home_form,away_form,home_advantage,h2h_home_winrate,h2h_away_winrate,home_injury_impact,away_injury_impact,market_home_prob,market_away_prob,day_of_week,season_progress,is_playoffs,target,sport
1537,1556,0.6158742871904204,0.38141814688106934,0.1,0.8528060310698636,0.14719396893013637,0.24294510749752277,0.07427134414258783,0.37935572740630685,0.6206442725936931,6,0.5344249812607544,1,1,MLB
1472,1599,0.22004843850349015,0.7073012749663992,0.1,0.6016009329667709,0.39839906703322914,0.32413072660146125,0.06038603498195077,0.5622951924894097,0.43770480751059027,6,0.3165292262744688,0,0,MLB
1537,1521,0.8732211269677481,0.6996407599041354,0.1,0.8355489595494539,0.16445104045054615,0.34521515298475214,0.39522961202099915,0.3587699850302916,0.6412300149697083,0,0.06092138636383404,0,1,MLB
1447,1577,0.8494137742716805,0.45597390115520087,0.1,0.7874934151000276,0.21250658489997243,0.25853713220638697,0.2238065529924613,0.4100169283453144,0.5899830716546857,5,0.5099911247916447,0,1,MLB
1436,1498,0.7255925702707338,0.666641529926979,0.1,0.1365118360090822,0.8634881639909178,0.14262275573889105,0.3041335085475237,0.6816952943202519,0.3183047056797481,3,0.41920142728109777,0,1,MLB
1521,1447,0.6898658405143152,0.3901330406684482,0.1,0.8998649129412336,0.10013508705876639,0.3108880306214299,0.3252334888991134,0.41203784191300996,0.58796215808699,5,0.9672742023236388,1,1,MLB
1581,1553,0.5134445145553356,0.6839500694507539,0.1,0.8415706045269219,0.1584293954730781,0.11279484548293293,0.2269724692193291,0.3272002064933023,0.6727997935066977,4,0.44543591849768727,0,1,MLB
1530,1536,0.5873183498990283,0.733539855276298,0.1,0.8233034001821083,0.17669659981789165,0.05673724622067722,0.2522645272104943,0.5479829622501529,0.45201703774984714,3,0.2878587484497712,0,1,MLB
1440,1462,0.7513787623871182,0.3407531961123593,0.1,0.15203091299752095,0.8479690870024791,0.01982937935232494,0.12465800745067401,0.693631232725321,0.306368767274679,2,0.45381578513750154,0,1,MLB
1474,1457,0.35406176466293204,0.6297702638324796,0.1,0.33264181946198634,0.6673581805380137,0.28921643177352674,0.148261230303785,0.606381000595027,0.393618999404973,1,0.6106248472961213,0,0,MLB
1549,1474,0.635201156363534,0.2681817228975083,0.1,0.5920055230004811,0.40799447699951885,0.29764472571652456,0.3169203020852245,0.38974664096958156,0.6102533590304184,6,0.11924286819955232,0,1,MLB
1404,1425,0.769046952333599,0.7168822978900655,0.1,0.7298976953958285,0.2701023046041715,0.39654712266141046,0.3820005261338481,0.6262793868747354,0.3737206131252646,2,0.4163900836510904,0,1,MLB
1458,1500,0.7341547672030844,0.640377586456363,0.1,0.3530435637029211,0.6469564362970789,0.3052157447092441,0.25413361962991904,0.6549915829165869,0.3450084170834131,5,0.13234994893682328,0,1,MLB
1512,1429,0.697696062247176,0.8508904914504547,0.1,0.8653521848336008,0.13464781516639923,0.015308160706405971,0.3555016611561288,0.44468902439868185,0.5553109756013181,0,0.026724485149958066,0,0,MLB
1504,1547,0.5187321607156846,0.5333572992959066,0.1,0.7598899307636166,0.24011006923638345,0.12830184376336115,0.2153410356788925,0.41140079456002177,0.5885992054399782,3,0.6532138787671986,0,1,MLB
1569,1483,0.8980005504303576,0.6233614856016834,0.1,0.48482563943636614,0.5151743605636339,0.19401438759928716,0.37523503388832247,0.3653066749884149,0.6346933250115852,1,0.05779207499663319,0,1,MLB
1446,1405,0.43879160995691413,0.7072257957595851,0.1,0.2293863106713679,0.7706136893286322,0.3790570118469969,0.05130847035510771,0.6806052322947163,0.31939476770528374,0,0.8494777806014134,0,0,MLB
