season_avg,recent_form,opponent_defense_rating,line,minutes_played,usage_rate,position,day_of_week,is_home,target,sport
27.085269371293837,0.7665006907297015,1.2693442619657973,29.35437710270841,34.98670301818231,24.18211530020231,PF,4,1,0,PROPS
19.4052594483613,0.8536622810582839,0.9688811189949472,17.937782656710915,32.744125256672184,25.172420117927768,SG,4,1,0,PROPS
17.648419481685014,0.748602523289526,1.2660332810881754,17.948082489308437,31.5721894282741,17.598938352610723,C,6,1,0,PROPS
29.467196495285936,0.8259154915461049,1.0413680212189231,26.965926582983105,34.76550128445955,23.069895798732624,SF,5,0,1,PROPS
32.27503295346878,0.9951485280285803,0.886742051803679,37.78331257960691,39.947634142661514,19.387076633789654,SG,3,1,0,PROPS
25.54858032701262,0.522606809775944,1.2684346248746015,20.871615643829706,35.56088875865959,15.078891094483298,SG,1,1,0,PROPS
6.27312886625988,0.3659462639186179,1.1937050098239999,5.834752857506075,33.08496271401452,23.408324904036984,C,3,1,0,PROPS
23.394341316263674,0.46162100385509525,0.8883006218322793,26.671834075972658,27.2631461763216,29.901858659124066,PF,5,0,0,PROPS
12.074541292160244,0.6620083683899077,0.878374840573742,14.146377747090142,23.69842217862525,34.4226484229663,SF,6,1,0,PROPS
31.04248769986349,0.6792209088058292,1.2104607507327532,29.79608059999497,37.07290900957058,25.7696733023203,PF,3,1,0,PROPS
14.422323882680127,0.3709410190707464,1.2880179663866742,16.162863361792294,34.786290819919046,22.445239977354824,SG,1,1,0,PROPS
33.926556301190004,0.741923707512936,0.7488861459881142,31.234602073946487,22.763218674373014,22.315207555823605,SF,5,0,0,PROPS
13.156850343696146,0.9963654185054454,1.152163651431208,13.136013995460882,39.42158276045521,23.037668090459043,SG,6,1,1,PROPS
17.65544355915472,0.8630579226322355,1.2556639725478365,16.331641634585797,30.580638278757498,17.20899377011632,SF,6,1,1,PROPS
14.58451872584446,0.5085392352092128,0.9069834014721816,12.191943781087378,26.120502884911062,15.561420513370802,PF,3,1,0,PROPS
12.236705915962506,0.7653445140894147,0.9463461351667537,10.2509482761738,33.52530236679168,27.96599290486101,PF,1,0,0,PROPS
29.401376239435425,0.8812893370629269,1.155094088269882,25.424522142102408,31.88765687897303,21.76598678170932,PG,0,1,0,PROPS
