home_elo,away_elo,home_form,away_form,home_advantage,h2h_home_winrate,h2h_away_winrate,home_injury_impact,away_injury_impact,market_home_prob,market_away_prob,day_of_week,season_progress,is_playoffs,target,sport
1512,1465,0.3393232174198373,0.669808571038331,0.1,0.7670222808735024,0.23297771912649756,0.23162598132074624,0.3145827848655454,0.4960439446783833,0.5039560553216167,2,0.2978447758671683,0,0,NBA
1585,1586,0.29318911540230996,0.2015931319552537,0.1,0.4917818162899106,0.5082181837100894,0.2576192048501344,0.3893362832501064,0.5326890586856111,0.4673109413143889,3,0.9101924169817511,0,1,NBA
1414,1512,0.7523233016589501,0.6803291994698045,0.1,0.8427328354667777,0.15726716453322231,0.3848913071305945,0.16399447879151172,0.30305015770183524,0.6969498422981648,3,0.07430188857546305,0,1,NBA
1517,1466,0.6715121551402481,0.32468040178320234,0.1,0.23731893032910448,0.7626810696708956,0.1211889842902592,0.15519097657262892,0.35282922332226824,0.6471707766777317,0,0.6437209743461008,0,1,NBA
1596,1535,0.6650816168950305,0.8139578972679877,0.1,0.40095161567655313,0.5990483843234469,0.07121821053614093,0.1665987901887106,0.4172367256039844,0.5827632743960156,3,0.45182498815674776,0,0,NBA
1505,1575,0.8631790685050538,0.7213461996749575,0.1,0.4801686545520245,0.5198313454479755,0.0858139160115647,0.109054620013994,0.6110483679338674,0.3889516320661326,4,0.5675009376304004,0,1,NBA
1424,1427,0.8615119434375902,0.7336358076384373,0.1,0.3753103239522384,0.6246896760477616,0.1793729617374643,0.11346953714116972,0.41835324322647627,0.5816467567735237,1,0.25145619541682107,0,1,NBA
1415,1550,0.720215793528614,0.805349859481105,0.1,0.3690438839572642,0.6309561160427358,0.2591424513828515,0.31348814193389596,0.5185288351341454,0.4814711648658546,0,0.936441144912908,0,1,NBA
1455,1546,0.31398201243620627,0.3965792501715464,0.1,0.8153207727682793,0.1846792272317207,0.045757715780531165,0.30766438356153597,0.42119202450954907,0.5788079754904509,3,0.6698679949306164,0,0,NBA
1596,1574,0.8855553567674577,0.4490441596726821,0.1,0.3749888328178045,0.6250111671821955,0.09046917751458046,0.12047374016539436,0.6913195306255728,0.30868046937442717,0,0.06888367761032432,0,1,NBA
1511,1556,0.5547170972802984,0.46117775859676435,0.1,0.3906152516266407,0.6093847483733593,0.27780853205291817,0.23047236402002405,0.5433849010153962,0.45661509898460384,6,0.8516831360552078,0,1,NBA
1553,1574,0.22162043714634702,0.31656383091561513,0.1,0.8278879428167903,0.17211205718320965,0.10735432688924021,0.16014263539219967,0.388687540658476,0.611312459341524,3,0.6848319899082934,0,0,NBA
